Month,Day,Year,Alameda Hall,Charney Hall,Heafy Hall,Campisi,Dunne,Graham,San Filipo,Date
1,8,2021,2.177246571,7.01881814,17.23086786,7.393920779,10.09213471,7.868032694,1.662852943,1/8/2021
1,8,2021,2.047514021,7.271518469,13.905509,7.378882528,11.1176877,7.812574268,1.660777807,1/8/2021
1,8,2021,2.004181236,6.699654102,15.36823368,7.484095335,10.29961467,7.972563982,1.690277934,1/8/2021
1,8,2021,2.025398672,6.920074344,15.76664519,7.747415781,10.91906095,9.161664248,1.492340147,1/8/2021
1,8,2021,2.064882398,7.119563818,14.94975043,7.932317376,9.76984334,8.930076361,1.751083374,1/8/2021
1,8,2021,2.034033954,7.164776564,15.56113601,7.948425293,8.998311996,9.002631426,1.7102471,1/8/2021
1,8,2021,1.963675052,7.12916863,14.93443012,7.913689613,8.208093643,8.969591856,1.710660756,1/8/2021
1,8,2021,1.952718556,7.123769164,14.49089408,7.923405051,8.234158278,9.023370505,1.692966998,1/8/2021
1,8,2021,1.952338457,7.089410782,11.40744042,7.92571497,8.272090197,8.992697954,1.712608338,1/8/2021
1,8,2021,1.88936618,7.015005946,11.02671886,7.914403677,8.263066292,9.043715,1.698309213,1/8/2021
1,9,2021,1.805737466,6.918047071,10.9735992,7.940069914,8.210723877,8.769008875,1.713217407,1/9/2021
1,9,2021,1.853878439,6.926192999,10.99796796,7.933955431,8.250954151,7.794553995,1.680327714,1/9/2021
1,9,2021,2.315466106,6.830168247,10.97829223,7.914939523,8.237135649,7.708135009,1.668668032,1/9/2021
1,9,2021,2.514032722,6.902710557,11.55595112,7.936660171,8.275488138,7.629897595,1.709785938,1/9/2021
1,9,2021,2.622172773,6.919496179,12.08197117,7.940686464,8.265933752,7.688420773,1.599760234,1/9/2021
1,9,2021,2.662175775,6.893712878,15.55327678,7.908995986,8.245800257,7.86918509,1.579574138,1/9/2021
1,9,2021,2.696501971,7.001395583,15.80172968,7.927096606,8.312991858,8.171412826,1.582533658,1/9/2021
1,9,2021,2.672318638,6.857746482,15.72151899,7.921052098,8.28700471,8.16297245,1.575514048,1/9/2021
