,total_hourly_usage
1054,60.322875861
1055,58.83300614400001
1056,60.31306085300001
1057,59.30087358600001
1058,60.84917670800001
1059,61.432259896
1060,59.80520009799999
1061,57.069571733000004
1062,48.887643817
1063,45.515481267000006
1064,44.496916952999996
1065,44.835782502
1066,45.238093256000006
1067,49.656452689999995
1068,60.71101134799999
1069,60.991613122000004
1070,58.866245964
1071,58.430460521
1072,58.434113621
1073,59.58319706
1074,59.84586376399999
1075,64.26959550500001
1076,61.009900689000006
1077,58.55166192
1078,62.50152567
1079,58.933040229999996
1080,60.881819492
1081,63.693667512000005
1082,62.320146863
1083,64.456129909
1084,62.482082868
1085,56.844788733
1086,46.783354103
1087,45.464322509000006
1088,44.641480388
1089,44.83985645
1090,45.363002212000005
1091,49.376046595000005
1092,60.310388511
1093,60.06579153
1094,58.720415919000004
1095,59.548142500000004
1096,60.821387773000005
1097,63.28706387000001
1098,63.498224169000004
1099,62.677903412000006
1100,60.098516618999994
1101,60.069448805
1102,61.250150202
1103,61.075101208999996
1104,63.183583346999995
1105,61.48454752400001
1106,60.419144997
1107,62.07316241
1108,61.50356355899999
1109,56.052126207
1110,46.6745997
1111,44.98317372700001
1112,44.488508973
1113,44.883392158999996
1114,45.347572981999996
1115,49.248584362
1116,60.35582373
1117,59.90779602800001
1118,58.558725710000004
1119,60.99838513299999
1120,62.08972483600001
1121,64.804443424
1122,62.061726918000005
1123,62.305523306000005
1124,63.912671184000004
1125,59.901743507000006
1126,61.62218926800001
1127,60.568735239
1128,62.66055483
1129,63.249096601000005
1130,62.911317675
1131,61.970747593999995
1132,62.16435238199999
1133,58.554788742
1134,47.723409746
1135,46.385819618
1136,45.470054031000004
1137,45.602467956
1138,46.17025613799999
1139,49.873201612
1140,61.805668896
1141,61.230426916
1142,60.31108969699999
1143,61.90488958
1144,63.276664313000005
1145,61.21106344499999
1146,59.788361254
1147,59.96785409
1148,60.976280986
1149,59.854630545
1150,60.287199318999996
1151,58.858170341999994
1152,62.20366805799999
1153,62.557889704000004
1154,61.85228143599999
1155,61.94324255
1156,61.689151345999996
1157,57.689204157
1158,47.516088544
1159,47.10494482899999
1160,46.397878773
1161,46.278398695
1162,46.486368837
1163,50.302369416
1164,62.406483899
1165,61.650391154
1166,61.080905025999996
1167,63.142059619
1168,63.682379423
1169,62.118304724000005
1170,59.825635978
1171,63.642391931
1172,63.573371707
1173,60.291891571
1174,60.043085336
1175,59.54381389
1176,60.770288584
1177,61.918836654
1178,63.571136565
1179,62.347851162000005
1180,61.933732186
1181,57.21286473
1182,48.572437651
1183,46.491749348
1184,45.971877511
1185,46.418929522
1186,46.278034092999995
1187,50.621791128000005
1188,63.191402859
1189,61.291093055999994
1190,62.106625199999996
1191,61.29117154800001
1192,63.42574114300001
1193,62.665874726
1194,62.431134582
1195,63.735262815
1196,60.23786831300001
1197,65.907388333
1198,71.314791312
1199,66.127950197
1200,68.311998367
1201,65.739253342
1202,66.37016836
1203,63.32923337900001
1204,60.719690809999996
1205,56.031736620000004
1206,46.474589736999995
1207,45.252780533
1208,44.570574375999996
1209,44.90537933
1210,45.325298577000005
1211,53.254723285000004
1212,62.497072822999996
1213,60.992295239
1214,59.788077145
1215,62.955379186
1216,61.950836652999996
1217,62.714271909000004
1218,61.651496059
1219,64.73795551
1220,61.73382702600001
1221,63.733886416999994
1222,63.993684835
1223,64.65177193400001
1224,61.945961317
1225,63.514191423999996
1226,64.848049315
1227,63.467090870999996
1228,60.984084909
1229,56.498677851000004
1230,47.358493531
1231,45.236712607
1232,44.536631174
1233,44.448494077999996
1234,50.789916842000004
1235,62.63238344
1236,63.54796613
1237,61.450680590000005
1238,60.778082228
1239,62.03118709100001
1240,60.716057611
1241,63.174783892
1242,62.476015147999995
1243,61.909644842999995
1244,64.039416999
1245,63.212687396999996
1246,62.39304686
1247,64.69394309
1248,65.883938113
1249,66.78124505999999
1250,65.276818278
1251,62.51056345999999
1252,57.285183398
1253,48.673437298
1254,47.560987483
1255,44.861105892
1256,45.140494620999995
1257,45.713315216
1258,53.603568038999995
1259,65.757069956
1260,67.92655861600001
1261,66.83221132
1262,68.27809638000001
1263,67.209622924
1264,67.043521418
1265,66.693389475
1266,70.41065008300001
1267,65.492318752
1268,64.884723731
1269,65.265660938
1270,63.271395389000006
1271,63.634417009
1272,65.87578815399999
1273,69.01003427
1274,70.879113201
1275,64.729997985
1276,61.024849329000006
1277,49.033547277
1278,47.627033244
1279,46.165082749
1280,46.688967707
1281,47.07994866599999
1282,56.697769466000004
1283,68.269850138
1284,69.893958028
1285,66.921624784
1286,66.272203569
1287,65.677804705
1288,65.47585790800001
1289,65.496529236
1290,67.110488066
1291,65.00749756399999
1292,63.086516798999995
1293,65.04954678
1294,62.753070777000005
1295,61.465998656000004
1296,62.846944158
1297,64.643382641
1298,64.983676702
1299,63.635348521999994
1300,58.641313491999995
1301,48.178416548
1302,47.050425084
1303,45.453984198
1304,45.609110656999995
1305,45.92184752599999
1306,55.003730543
1307,67.038635015
1308,68.57013422600001
1309,66.579475884
1310,67.189915251
1311,64.753448545
1312,66.087426901
1313,66.64747179100002
1314,66.160520318
1315,65.874039838
1316,65.340691217
1317,63.990908447
1318,62.818091628000005
1319,64.309348345
1320,65.482443327
1321,65.822424415
1322,67.220847045
1323,61.574952904000014
1324,57.080950611999995
1325,47.452495133999996
1326,46.341499155
1327,44.93018910299999
1328,45.184329307000006
1329,45.956360045000004
1330,52.176929948
1331,64.139174351
1332,64.87031036900001
1333,62.958390306999995
1334,68.01407892
1335,64.28577393500001
1336,63.952395136999996
1337,64.188857457
1338,65.597482927
1339,62.82571166699999
1340,65.55894137000001
1341,65.26633369900001
1342,62.141429789
1343,62.184863152000005
1344,63.034165556000005
1345,67.065741309
