Wind Speed (m/s),Wind Direction (°),ActivePower (kW)
4.29698801,191.4851074,206.6020966
4.736260891,183.4333954,251.3757019
4.780562878,187.9405975,275.0136108
4.894141197,180.8480072,314.2744141
4.487487793,185.8578033,238.7823029
5.314783096,180.8168945,409.0264893
5.711400986,186.1788025,506.4703064
5.374886036,196.3742065,427.9566956
6.895505905,193.9367065,952.2675781
7.240921021,187.7236023,1019.905029
6.709988117,185.273407,1015.357971
6.851963043,183.7971039,979.7229004
5.078312874,185.1383972,379.4078979
6.521288872,189.263504,841.5977783
6.171179771,189.2765045,672.6187744
5.449243069,190.636795,452.0786133
5.851128101,196.9326935,558.9979248
5.094088078,193.4658051,331.7192993
4.598594189,197.9337006,212.1006927
3.629702091,199.7156067,79.72102356
4.472650051,205.3706055,183.0128021
4.918616772,204.3323059,279.1960144
5.625835896,209.3771057,460.2166138
6.316774845,211.6537018,647.7111206
6.237164974,212.0509033,685.0780029
6.449378014,211.607605,709.8339844
5.782717228,212.3511047,493.3555908
5.346119881,216.8318024,366.0793152
4.379333019,220.0410004,183.0379028
3.011370897,238.6905975,7.347679138
3.743307114,245.0682068,0
3.24625206,238.0765076,12.34420013
2.185888052,238.4102936,-0.393067598
2.142015934,234.7624054,0
2.501405954,223.3088074,0
2.668577909,226.0516968,0
3.034003019,221.0865021,0
3.197354078,232.6795959,0
3.907810926,241.9730988,0
3.801294088,221.5258942,65.98790741
4.43715477,225.1553955,157.8495026
3.677906036,220.4692993,50.42205048
4.115369797,222.5281067,88.1881485
4.987364769,220.7682037,242.3132935
4.871101856,222.9488983,262.8019104
5.921298981,212.7292938,584.6671143
5.030583858,216.0464935,298.586792
4.997858047,206.8820038,279.7724915
6.434377193,208.842804,823.4796143
6.996636868,212.2098999,883.265625
7.625429153,205.5773926,1155.17395
8.103025436,198.4824066,1400.389038
7.518618107,207.7772064,1205.10498
7.688251019,199.1479034,1292.051025
8.459005356,192.9795074,1856.177002
9.077300072,194.6878967,1928.175049
8.439414978,196.0083008,1604.427002
7.987431049,203.3475037,1599.995972
7.939982891,209.9878998,1456.094971
7.719861984,213.6096039,1386.623047
7.774147034,214.1114044,1460.360962
8.582259178,210.4824066,1894.795044
8.339191437,212.0424042,1760.422974
9.083572388,214.585495,2010.977051
8.675281525,211.3721008,1828.81604
9.150783539,208.8197937,1960.692993
9.191649437,204.3585052,1900.447998
8.260289192,201.8890991,1549.958008
8.48968792,194.9138947,1692.688965
8.78850174,194.1036072,1931.083984
8.9564991,193.3457947,2060.147949
9.095618248,195.2973938,2069.625
8.725904465,199.5845032,2037.266968
8.112092018,197.5211029,1594.845947
6.856678963,200.4409943,994.5827026
7.279873848,200.8896942,1137.285034
7.534298897,199.7960968,1267.858032
6.945837021,196.680603,1002.463013
7.085527897,199.6690063,1172.348022
7.406904221,197.4501953,1252.139038
6.934106827,196.3952026,1121.166992
7.151297092,194.0278931,1183.020996
6.571721077,191.2942047,932.3084106
6.759712219,190.1013947,989.5076904
6.414824963,185.5180969,750.5510254
6.523455143,187.6056976,825.7661743
7.062949181,192.7353973,1116.487061
6.692947865,196.0746002,986.7598877
6.809185982,194.8430023,1018.14502
6.096306801,192.4667969,659.1777954
6.142684937,190.7617035,729.4874268
6.430369854,194.5778046,864.5026245
7.538290977,197.9828033,1342.239014
7.363255978,197.254303,1279.098022
7.46066618,201.2154999,1351.391968
7.031758785,199.337204,1039.727051
6.874794006,194.1508026,876.0166016
6.345135212,196.0812073,754.0079956
7.185342789,198.135498,1122.334961
6.635414124,199.4308014,907.7965698
6.927267075,194.1383057,1009.737
8.333586693,193.2097015,1806.98999
9.532950401,191.9416962,2374.843994
8.42602253,189.827301,1779.208984
7.494080067,192.1376038,1334.980957
8.009915352,192.0973053,1562.947021
7.944521904,194.2440033,1562.116943
7.72806406,200.2335968,1464.977051
7.462277889,205.0283966,1312.358032
6.420166969,200.6712952,767.0369873
4.7484622,201.9185028,283.2593079
6.264211178,208.1761017,687.1071777
5.50088501,200.7915955,465.7536011
5.27207613,208.0086975,355.6220093
5.701906204,217.7465057,467.8251953
6.579235077,212.3013,865.3469849
7.678398132,208.9172974,1512.972046
7.89579916,217.2373962,1491.698975
8.964849472,221.3515015,2004.44104
8.083142281,219.8023987,1581.483032
7.799798965,214.5469971,1431.620972
7.978303909,216.9134064,1523.792969
8.155491829,215.3661041,1693.270996
8.248645782,211.0007935,1775.037964
8.495847702,210.1282959,1875.410034
7.96182394,208.8327026,1558.057983
8.35203743,204.2586975,1811.088989
8.135239601,198.5278015,1686.125977
9.599003792,198.7720032,2362.262939
8.982050896,197.4006958,2000.86499
7.2846632,189.5783997,1169.964966
7.521474838,182.8565979,1309.223999
6.215313911,186.8215027,759.0145264
5.501014233,195.8029938,498.1903076
5.106607914,195.1764069,332.4820862
4.649808884,191.6334991,253.5845032
4.374350071,206.2425995,180.4122925
4.833168983,196.2194977,258.3656921
4.907478809,187.0084991,133.0052948
2.888112068,0,0
2.386636019,139.2751007,0
2.476815939,153.8556061,0
1.77384305,144.0395966,0
2.48486495,142.8634033,0
2.764512062,133.9111023,0
2.5070889,103.2738037,0
3.441704035,79.09410858,0
2.484878063,106.4503021,0
2.436743021,102.7186966,0
2.359375954,107.3701019,0
3.021173,94.58883667,0
3.395319939,97.73842621,0
3.413508892,101.6998978,0
5.160031796,81.87310028,0
5.161472797,62.48146057,0
5.414981842,61.62747955,0
6.778621197,67.9675827,0
4.436894894,0,0
5.013915062,50.42341995,210.7194977
5.274309158,47.2641716,338.6500854
5.915596962,43.18653107,518.5518188
5.858211994,42.6594696,504.067688
5.650877953,52.86571121,446.7330017
6.349774837,53.7215004,705.7045288
6.636434078,53.08805084,795.3168945
7.010248184,52.78892899,1012.676025
7.559226036,55.33359909,1240.823975
7.404004097,51.70399094,1282.074951
6.80051899,53.39633179,941.5869141
5.82537508,45.68770981,590.8366699
6.080101967,45.51879883,650.5629272
6.582440853,40.36516953,871.5112305
6.643204212,46.86555862,914.1212158
6.345364094,38.58917999,835.84198
6.042553902,48.70145035,624.9906006
5.757640839,41.20378113,591.9558716
5.694249153,46.98265076,509.3490906
7.068666935,33.49834061,1190.81604
6.641551018,33.8251915,963.7324829
6.690164089,27.36738968,980.9760742
6.36333704,29.67544937,777.8479004
6.827414036,40.88489151,980.223877
6.71631813,41.12696838,962.4301758
5.415152073,41.6153717,462.7698975
6.953413963,35.44075012,1139.240967
7.42373991,36.21514893,1418.631958
8.381437302,39.72340012,1716.139038
7.493074894,46.13137817,1312.791016
7.380391121,45.09289932,1222.020996
6.244694233,42.08800888,703.7221069
5.493409157,33.02647018,470.8012085
5.124141216,30.50971031,387.34021
5.285066128,27.65151978,402.4747925
5.539794922,28.00427055,460.2911987
6.015673161,25.7741394,619.8723755
5.59703207,23.50094986,470.2001038
6.277314186,23.72624969,691.0140991
6.49335289,20.42690086,826.9951782
6.786591053,25.21842003,892.4243774
6.764401913,30.23693085,907.1884155
5.724936962,29.67219925,545.2653198
6.238166809,30.00231934,688.8358154
5.945401192,29.64308929,591.9088745
6.17223978,30.39785957,660.6942749
6.351617813,30.28310966,747.4074707
7.168983936,18.97281075,1174.243042
6.629221916,17.22633934,873.4810181
6.55459404,12.58047009,845.2050171
6.395040989,9.429060936,837.0637207
6.797101021,4.961769104,949.4943237
6.920464993,358.1897888,1045.36499
6.278329849,351.8651123,791.0836182
6.682812214,2.56614089,994.7495728
6.721062183,7.876725197,933.4232178
7.131796837,14.10332012,1049.432983
6.148598194,20.33539009,671.7241211
6.896099091,21.0418396,966.8311768
6.926294804,22.93596077,982.2590942
6.567954063,33.37145996,825.6619263
6.398931026,32.30049896,723.1392212
5.446605206,30.16810989,418.6412048
5.108693123,27.08235931,327.2762146
5.232514858,22.60456085,388.316803
4.243929863,30.59626007,167.2218018
4.137093067,32.78860855,137.2467957
4.160939217,30.18254089,130.7671051
4.124106884,31.8532505,117.8118973
4.126059055,26.32125092,111.3429031
4.204703808,25.67859077,114.2955017
4.355268002,27.08256912,143.7870941
3.952167034,36.21786118,88.93582916
4.434104919,29.74682045,183.6699982
3.678040981,25.84374046,82.14437866
4.063600063,21.24472046,139.9472046
5.488460064,17.45406914,434.5010986
5.625834942,12.99639034,474.0610962
5.394489765,12.51430988,415.1499939
5.4572649,12.40832996,435.0263977
5.450904846,15.87475014,402.3875122
4.76416111,9.024561882,257.2170105
4.101181984,7.712677002,137.417099
3.941123009,7.581837177,102.3587036
3.87789607,11.42055988,92.7376709
3.836927891,29.3313694,78.11549377
4.130588055,25.04413033,110.3116989
4.081981182,24.68565941,102.552803
3.839956999,24.07126999,77.85061646
3.975877047,23.42119026,81.45278168
3.820688963,39.26622009,66.64151001
3.98053503,52.09212112,90.01490784
4.142834187,52.06705093,112.0342026
3.929188967,52.53002167,82.11415863
3.227394104,62.52310944,13.93430996
2.693974972,63.97663116,0
3.76078701,72.28019714,0
3.734816074,69.53996277,55.44535065
3.310203075,74.86411285,22.78053093
2.853812933,85.75393677,4.355070114
